Date,净利润同比增长率,净利率,现金比率,经营活动产生现金流增长率,营业利润同比增长率,营业收入历史增长率,营业收入同比增长,营业收入预期短期增长率,营业收入预期长期增长率,融资活动产生现金流增长率,合并后的同比增长率
2010/1/1,-0.0654816,-0.061245953,0.130161639,-0.037812495,-0.06710254,-0.116400082,0.289713069,0.112583768,0.069653788,-0.011022211,-0.06629207
2010/2/1,0.152624453,-0.078502754,0.094996981,0.022128215,0.166277335,0.157819957,0.138151401,0.060163821,-0.249680358,0.210209017,0.159450894
2010/3/1,0.026195789,-0.034341716,0.011590247,0.051767173,-0.110287133,0.039200899,0.020500039,0.049304412,-0.226511641,0.159214065,-0.042045672
2010/4/1,0.158991568,0.067551298,0.02248617,-0.015854053,0.148478337,0.049335002,0.134962282,-0.051079132,0.089819382,0.017747537,0.153734952
2010/5/1,-0.047374805,-0.003074425,0.003217265,0.013910326,-0.009086074,0.020971046,-0.030165616,0.001888538,-0.114482054,0.052941109,-0.02823044
2010/6/1,0.066621258,0.043425605,0.057794955,-0.055244714,0.024740968,0.037495239,0.023077614,0.026979325,-0.022340112,0.101426438,0.045681113
2010/7/1,0.013860326,-0.073840719,0.044878512,0.022278122,-0.008752283,-0.045329437,0.038192986,0.080409307,0.070913007,0.018687521,0.002554021
2010/8/1,-0.019640994,0.135507089,0.127408854,-0.087908304,-0.020563283,-0.063746329,-0.115749958,0.184323491,-0.017146119,-0.06286678,-0.020102139
2010/9/1,0.117425359,-0.101165705,0.103815169,-0.170834764,0.087489711,-0.080191566,-0.052919163,0.199291094,-0.087834464,-0.161094855,0.102457535
2010/10/1,0.07078729,0.034529468,-0.056366812,0.006816695,0.08969696,-0.02486678,-0.020003173,0.057415355,0.095265446,-0.056036208,0.080242125
2010/11/1,0.186727456,-0.0744334,0.084599716,-0.104464357,0.159231409,0.034187166,0.06441648,0.182156545,0.028406122,0.037950933,0.172979433
2010/12/1,-0.10133919,0.041195792,0.00119485,0.031186993,-0.078966149,0.051998578,-0.060845698,-0.167563416,0.226729151,0.11828445,-0.090152669
2011/1/1,0.180460249,0.031557703,0.081700358,0.024893143,0.130224519,-0.199355995,-0.016988902,0.168059874,-0.006010086,-0.110072303,0.155342384
2011/2/1,0.01066397,0.007858096,-0.000428588,-0.190333044,-0.0459192,-0.055619795,0.142966189,0.074840778,-0.152234314,-0.109051635,-0.017627615
2011/3/1,0.064163718,-0.032795655,-0.010923481,0.115608245,0.124429948,-0.106068877,0.094150305,-0.032398557,-0.192793754,0.092849171,0.094296833
2011/4/1,0.002285634,0.134593064,0.024505201,-0.06955926,-0.019802169,-0.002869813,0.007967507,-0.006164624,0.173245691,0.015121088,-0.008758268
2011/5/1,0.076209469,0.052941419,0.161400916,0.08534578,0.096281618,-0.02059097,0.078672298,0.070977671,0.041272176,-0.189300363,0.086245544
2011/6/1,0.175650042,0.026825244,0.065002209,0.112066776,0.137093053,-0.091832987,0.193772055,0.119164298,0.024819396,-0.038233231,0.156371548
2011/7/1,-0.045911408,-0.012363421,0.024519228,0.205499123,-0.034930787,-0.064750805,0.032475411,0.055898939,-0.001246124,-0.01004664,-0.040421098
2011/8/1,-0.086341324,0.033815793,-0.083714896,0.035150108,-0.089869644,0.064987474,-0.057578923,-0.006220931,0.171647973,0.030274584,-0.088105484
2011/9/1,-0.103902064,-0.162097868,0.037446694,0.007623927,-0.025424462,-0.048369254,-0.020373714,0.110404657,-0.114863578,0.074796483,-0.064663263
2011/10/1,-0.029694136,0.065385296,-0.03621191,0.024661076,-0.03219268,0.042575939,0.005457126,-0.008251243,0.159109834,-0.083489866,-0.030943408
2011/11/1,0.065184844,0.047509507,0.09209821,0.087311367,0.073351507,-0.006325352,-0.041783887,-0.092643891,0.027228341,-0.074344884,0.069268175
2011/12/1,0.066292655,-0.017547991,0.055014169,-0.019131403,0.060000441,0.061763071,-0.040670416,0.066862342,0.010633814,0.013938454,0.063146548
2012/1/1,0.028080615,-0.037611974,0.019160421,0.006711666,0.026486427,-0.123300869,0.103435845,0.078362231,-0.019077165,-0.050404238,0.027283521
2012/2/1,0.0200401,0.077821275,0.056826508,0.069735763,0.020451519,0.054282156,-0.043010121,0.01190381,0.163617249,0.01342284,0.020245809
2012/3/1,-0.053601853,0.060863079,-0.040311993,0.03552008,-0.060190326,-0.002719952,-0.071213249,-0.105405322,-0.102050264,0.083863248,-0.05689609
2012/4/1,0.126170692,0.046616068,-0.007493142,-0.145486896,0.111018937,-0.097755739,0.021006025,0.028672435,0.05101385,-0.05748573,0.118594814
2012/5/1,0.103142651,-0.092096955,0.01144173,0.111907305,0.08431804,0.008005094,0.2498795,0.067689796,-0.023430099,0.037455462,0.093730345
2012/6/1,0.179722105,0.042848321,-0.020337113,-0.014308302,0.182302229,0.024748202,0.14434203,-0.120710514,0.117252011,-0.064911993,0.181012167
2012/7/1,0.004389248,-0.067135917,0.160141385,-0.032287425,0.008774576,-0.042414045,0.08885893,0.14932282,-0.065009155,0.025685957,0.006581912
2012/8/1,0.056692832,-0.013250056,0.014946341,0.027933718,0.055043366,-0.099458355,0.027432363,-0.009074029,-0.055674613,0.001616263,0.055868099
2012/9/1,0.133337779,-0.057131676,-0.014809807,-0.115265039,0.080660824,0.059885829,0.100259126,0.104452462,0.01782317,-0.015316667,0.106999301
2012/10/1,0.003333398,0.085893126,-0.008444505,-0.012855558,0.062076941,0.066709263,0.090387802,-0.0196835,0.051161059,-0.033614121,0.032705169
2012/11/1,-0.07637905,0.045275009,-0.011585813,-0.036940969,-0.064353821,0.01160306,0.010417978,-0.064560746,0.016918669,-0.030817132,-0.070366436
2012/12/1,-0.028713584,-0.015010755,-0.052901333,0.037464246,-0.01601656,-0.152729099,0.019449864,0.065306756,0.108165873,0.124817022,-0.022365072
2013/1/1,0.156083738,0.04445426,0.004578074,0.069746679,0.117976515,0.012270427,0.094347887,0.123211487,0.170201933,-0.025036723,0.137030126
2013/2/1,0.07035673,0.002724609,-0.034079108,0.091218216,0.113001982,-0.058629513,0.102660741,0.128691478,0.13495711,0.040183057,0.091679356
2013/3/1,0.007931072,0.104390403,0.013616579,0.040594477,0.067489799,-0.057130489,0.218996265,0.088914065,0.086784721,-0.025528706,0.037710435
2013/4/1,-0.026148154,-0.024255755,0.188369211,-0.092870084,-0.058106141,-0.008391462,0.013974728,0.272606791,-0.050959374,-0.019258465,-0.042127147
2013/5/1,-0.015313204,0.115902218,0.159394269,-0.000473797,0.020403277,-0.072101734,-0.044554882,0.051737319,0.002669155,-0.067858671,0.002545037
2013/6/1,0.034569037,0.078020857,0.107148258,-0.038674986,-0.002835987,-0.141638544,0.052170449,0.080582861,0.088160814,-0.003330915,0.015866525
2013/7/1,-0.074734224,-0.07055174,0.040330067,-0.008116187,-0.048128433,0.044484047,0.027625394,-0.069424755,-0.012979932,-0.056160338,-0.061431328
2013/8/1,0.04219504,-0.070997757,-0.026772377,0.057330339,-0.014901794,-0.167625131,-0.000924252,0.065403794,-0.105101065,-0.095565135,0.013646623
2013/9/1,0.083982252,0.009089855,-0.108261879,0.071278939,0.098222228,0.093033733,0.012783525,-0.119266682,0.095414145,-0.028524819,0.09110224
2013/10/1,-0.028222188,0.067989926,-0.002941528,-0.072821676,-0.030013249,0.012159168,-0.001554227,-0.099862845,-0.000732293,-0.013616374,-0.029117718
2013/11/1,-0.018874973,0.116163663,-0.078421452,-0.08792401,0.041932473,-0.066811493,-0.018154181,0.026671577,0.086143712,0.003397166,0.01152875
2013/12/1,-0.194112805,-0.030110847,-0.016443617,-0.085457085,-0.136258858,-0.097167515,-0.038372785,0.083419209,0.028582583,-0.077132028,-0.165185832
2014/1/1,-0.164380352,-0.138841394,-0.053711027,0.019191921,0.001234328,-0.003729362,-0.032606954,0.205946615,-0.057659923,-0.15263125,-0.081573012
2014/2/1,0.05678338,0.009266718,-0.119530394,-0.012447069,0.060100678,0.023475717,0.074296382,0.080510461,0.02943544,0.057576156,0.058442029
2014/3/1,0.053224727,0.135162416,-0.064231725,-0.125094537,0.022350687,-0.119744658,-0.030852453,-0.023764193,-0.051528144,0.049221172,0.037787707
2014/4/1,-0.033543689,-0.146866298,-0.058225588,0.017816279,0.106474365,0.135658471,0.105244077,0.14676648,-0.160715239,0.159733642,0.036465338
2014/5/1,0.05611936,-0.045066237,0.115394231,-0.095301266,0.017604159,-0.024475822,0.10868549,0.094546244,-0.069178316,-0.112452479,0.036861759
2014/6/1,-0.030544949,-0.020314579,-0.074788866,0.002360115,-0.019708225,0.039186323,-0.15394215,-0.146124328,-0.008058177,0.072610976,-0.025126587
2014/7/1,-0.144351363,-0.205290396,-0.096950334,0.025716498,-0.145182797,-0.079255012,0.151752619,0.136245065,-0.038575642,0.022973764,-0.14476708
2014/8/1,-0.128543039,-0.049112086,0.029423709,-0.039686381,-0.140075189,-0.130194065,-0.057160996,0.029764339,0.040173708,0.01527372,-0.134309114
2014/9/1,0.036931485,-0.107289926,0.083796235,0.086653271,0.011875088,-0.025391055,-0.000373528,-0.064854322,0.122941492,-0.034882926,0.024403286
2014/10/1,-0.003515443,-0.040955554,0.067979831,-0.002451003,0.029113095,-0.032909701,-0.042672435,-0.000218614,0.056926061,-0.010583691,0.012798826
2014/11/1,0.021447196,0.036014247,-0.008483188,0.062452504,-0.002662059,0.033288979,-0.016274356,-0.109004717,-0.001783055,-0.011631494,0.009392569
2014/12/1,0.099592409,-0.002606599,0.027554972,0.019212093,0.096588946,-0.024645958,0.010566135,0.176072287,0.043671467,-0.054014197,0.098090677
2015/1/1,0.177403028,0.022642354,-0.023666315,0.005279109,0.141454544,-0.140367005,0.140090389,0.033428237,0.048572086,0.032732192,0.159428786
2015/2/1,-0.056010006,-0.051013903,-0.087567186,0.132101472,-0.061908161,-0.098304466,0.091215921,0.047964715,0.077693029,-0.013326897,-0.058959084
2015/3/1,-0.064984832,-0.127746522,-0.187024061,0.029134349,-0.036762726,-0.122462766,-0.079431191,0.08881419,-0.063493226,-0.091483957,-0.050873779
2015/4/1,-0.009104802,-0.043666046,0.093151343,-0.060862669,-0.026571888,0.012364888,0.07859555,0.059457986,-0.087570287,0.041101224,-0.017838345
2015/5/1,0.005780124,-0.060205413,-0.009356152,0.070434254,0.014316407,0.024258048,-0.063682515,-0.144665274,-0.048620438,0.084981109,0.010048265
2015/6/1,0.158503062,0.1850214,0.177066313,-0.045745115,0.135620671,-0.08720099,0.104791865,-0.106006072,-0.006229101,-0.038226867,0.147061867
2015/7/1,-0.151681803,-0.027487582,0.019857576,0.036687245,-0.149019346,-0.004020201,-0.129638563,-0.139818549,-0.043965085,-0.022648068,-0.150350574
2015/8/1,0.165119854,0.018071799,0.053676943,-0.030790595,0.13733755,0.02199542,0.079104686,0.03957921,0.029641426,-0.142614875,0.151228702
2015/9/1,0.096283388,0.015727769,-0.022225951,0.053766383,0.107672913,-0.079689397,0.138926538,0.120339962,-0.04325361,0.108430634,0.101978151
2015/10/1,0.028080386,-0.065326757,-0.014507588,-0.036656708,0.018929451,0.066821413,-0.01871016,-0.01552344,0.042345928,0.014716235,0.023504919
2015/11/1,-0.168630755,-0.100319226,0.097624381,0.02965837,-0.176368712,-0.009021115,-0.102324152,0.06398907,0.063303795,-0.110703797,-0.172499733
2015/12/1,0.00696104,0.113707016,-0.031111701,-0.016386148,0.043227024,-0.062690089,0.138180686,0.059561254,0.01158698,0.00143715,0.025094032
